title,description,skills,technology_skills,education_level,salary_median,job_growth,work_activities,work_context,knowledge_areas,abilities,work_styles,tasks,tools_used,work_values,url
Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",[],"['Python', 'Java', 'C++', 'R', 'Go', 'Rust', 'React', 'AWS', 'Tableau', 'Power BI', 'Excel', 'SQL']",,$60.47,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-2011.00
Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",[],"['Java', 'C++', 'R', 'MATLAB', 'Go', 'HTML', 'AWS', 'Git', 'Linux', 'Machine Learning', 'Excel', 'MySQL', 'SQL', 'Ruby', 'Perl', 'Jenkins']",,$34.37,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-2099.01
Biostatisticians,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Java', 'JavaScript', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'AWS', 'Git', 'Linux', 'Excel', 'MySQL', 'SQL', 'PHP', 'Perl']",,$49.66,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-2041.01
Blockchain Engineers,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",[],"['Java', 'C++', 'C#', 'R', 'Go', 'React', 'Angular', 'Node.js', 'Spring', 'Kubernetes', 'Docker', 'AWS', 'Azure', 'Git', 'Linux', 'MongoDB', 'PostgreSQL', 'MySQL', 'SQL', 'Apache Kafka', 'TypeScript', 'Jenkins', 'Ansible', 'Terraform']",,$52.39,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-1299.07
Business Intelligence Analysts,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['C#', 'R', 'MATLAB', 'Go', 'Swift', 'Django', 'Apache Spark', 'AWS', 'Git', 'Linux', 'Cloud Computing', 'Tableau', 'Power BI', 'Excel', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'ASP.NET', 'jQuery']",,$54.13,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-2051.01
Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",[],"['Java', 'C++', 'C#', 'R', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Cloud Computing', 'Excel', 'SQL']",,$54.13,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-2051.02
Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",[],"['Java', 'JavaScript', 'C#', 'R', 'MATLAB', 'Go', 'React', 'Node.js', 'Django', 'TensorFlow', 'PyTorch', 'Apache Spark', 'Docker', 'AWS', 'Git', 'Tableau', 'Power BI', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'PHP', 'Ruby', 'Perl']",,$67.74,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-1221.00
Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",[],"['C#', 'R', 'MATLAB', 'Go', 'Rust', 'Swift', 'React', 'Angular', 'Django', 'Spring', 'Apache Spark', 'Docker', 'AWS', 'Git', 'Linux', 'Cloud Computing', 'Tableau', 'Excel', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'Perl', 'ASP.NET', 'jQuery', 'Ansible', 'Chef', 'Puppet', 'Terraform']",,$62.69,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-1241.00
Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",[],"['Python', 'Java', 'R', 'Go', 'AWS', 'Azure', 'Linux', 'Cloud Computing', 'Excel', 'MySQL', 'SQL', 'Ruby', 'Perl']",,$35.26,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-1231.00
"Computer Occupations, All Other","Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['R', 'Go', 'Git']",,$52.39,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/15-1299.00
