title,occupation_code,occupation_family,occupation_family_id,description,technology_skills,salary_median,abilities,url
Computer Network Architects,15-1241.00,Computer and Mathematical Occupations,15,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.","['C#', 'R', 'MATLAB', 'Go', 'Rust', 'Swift', 'React', 'Angular', 'Django', 'Spring', 'Apache Spark', 'Docker', 'AWS', 'Git', 'Linux', 'Cloud Computing', 'Tableau', 'Excel', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'Perl', 'ASP.NET', 'jQuery', 'Ansible', 'Chef', 'Puppet', 'Terraform']",$62.69,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-1241.00
Computer Programmers,15-1251.00,Computer and Mathematical Occupations,15,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.","['Java', 'R', 'MATLAB', 'Go', 'Rust', 'Swift', 'HTML', 'React', 'Angular', 'Django', 'Spring', 'Apache Spark', 'Docker', 'AWS', 'Git', 'Linux', 'Cloud Computing', 'Tableau', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'jQuery', 'Ansible', 'Chef', 'Puppet']",$47.44,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-1251.00
Data Scientists,15-2051.00,Computer and Mathematical Occupations,15,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.","['Python', 'Java', 'JavaScript', 'C#', 'R', 'MATLAB', 'Go', 'TensorFlow', 'PyTorch', 'Apache Spark', 'Kubernetes', 'Docker', 'AWS', 'Azure', 'Google Cloud', 'Git', 'Linux', 'Machine Learning', 'Data Science', 'Big Data', 'Tableau', 'Power BI', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'Ruby', 'Perl', 'Jenkins', 'Apache Airflow']",$54.13,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-2051.00
Software Developers,15-1252.00,Computer and Mathematical Occupations,15,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.","['Python', 'Java', 'R', 'MATLAB', 'Go', 'React', 'Vue.js', 'TensorFlow', 'PyTorch', 'Apache Spark', 'Kubernetes', 'AWS', 'Git', 'Cloud Computing', 'DevOps', 'Tableau', 'Power BI', 'Excel', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'TypeScript', 'jQuery', 'Bootstrap', 'Jenkins', 'Ansible', 'Chef', 'Puppet', 'Terraform']",$63.98,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-1252.00
Software Quality Assurance Analysts and Testers,15-1253.00,Computer and Mathematical Occupations,15,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","['Java', 'R', 'MATLAB', 'Go', 'Rust', 'Swift', 'React', 'Angular', 'Django', 'Spring', 'Apache Spark', 'Docker', 'AWS', 'Git', 'Linux', 'Cloud Computing', 'Tableau', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'Perl', 'jQuery', 'Jenkins', 'Ansible', 'Chef', 'Puppet']",$49.33,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Document test procedures to ensure replicability and compliance with standards.Related occupations', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-1253.00
Computer and Information Systems Managers,11-3021.00,Management Occupations,11,"Sample of reported job titles:Application Development Director, Computing Services Director, Data Processing Manager, Information Systems Director (IS Director), Information Systems Manager (IS Manager), Information Systems Supervisor (IS Supervisor), Information Technology Director (IT Director), Information Technology Manager (IT Manager), MIS Director (Management Information Systems Director), Technical Services Manager","['C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'Node.js', 'Spring', 'AWS', 'Linux', 'Cloud Computing', 'Tableau', 'Excel', 'MongoDB', 'PostgreSQL', 'MySQL', 'SQL', 'Perl', 'Dart', 'Puppet']",$82.31,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/11-3021.00
Blockchain Engineers,15-1299.07,Computer and Mathematical Occupations,15,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.","['Java', 'C++', 'C#', 'R', 'Go', 'React', 'Angular', 'Node.js', 'Spring', 'Kubernetes', 'Docker', 'AWS', 'Azure', 'Git', 'Linux', 'MongoDB', 'PostgreSQL', 'MySQL', 'SQL', 'Apache Kafka', 'TypeScript', 'Jenkins', 'Ansible', 'Terraform']",$52.39,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-1299.07
Business Intelligence Analysts,15-2051.01,Computer and Mathematical Occupations,15,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.","['C#', 'R', 'MATLAB', 'Go', 'Swift', 'Django', 'Apache Spark', 'AWS', 'Git', 'Linux', 'Cloud Computing', 'Tableau', 'Power BI', 'Excel', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'ASP.NET', 'jQuery']",$54.13,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-2051.01
Clinical Data Managers,15-2051.02,Computer and Mathematical Occupations,15,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.","['Java', 'C++', 'C#', 'R', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Cloud Computing', 'Excel', 'SQL']",$54.13,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-2051.02
Computer and Information Research Scientists,15-1221.00,Computer and Mathematical Occupations,15,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.","['Java', 'JavaScript', 'C#', 'R', 'MATLAB', 'Go', 'React', 'Node.js', 'Django', 'TensorFlow', 'PyTorch', 'Apache Spark', 'Docker', 'AWS', 'Git', 'Tableau', 'Power BI', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'PHP', 'Ruby', 'Perl']",$67.74,"['Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills', 'Technology Skills', 'Skills', 'Speech Clarity— The ability to speak clearly so others can understand you.Related occupations', 'Advanced SearchesJob DutiesProfessional AssociationsRelated ActivitiesSoft SkillsTechnology Skills']",https://www.onetonline.org/link/summary/15-1221.00
