title,occupation_family,salary_median_clean,job_growth
"Airline Pilots, Copilots, and Flight Engineers",Transportation and Material Moving,226.0,
"Law Teachers, Postsecondary","Education, Training, and Library",126.0,
Commercial Pilots,Transportation and Material Moving,122.0,
"Economics Teachers, Postsecondary","Education, Training, and Library",119.0,
Neurologists,Healthcare Practitioners and Technical,115.0,
Emergency Medicine Physicians,Healthcare Practitioners and Technical,115.0,
Cardiologists,Healthcare Practitioners and Technical,115.0,
Anesthesiologists,Healthcare Practitioners and Technical,115.0,
Allergists and Immunologists,Healthcare Practitioners and Technical,115.0,
Dermatologists,Healthcare Practitioners and Technical,115.0,
Hospitalists,Healthcare Practitioners and Technical,115.0,
Family Medicine Physicians,Healthcare Practitioners and Technical,114.61,
General Internal Medicine Physicians,Healthcare Practitioners and Technical,113.63,
"Dentists, All Other Specialists",Healthcare Practitioners and Technical,108.54,
"Engineering Teachers, Postsecondary","Education, Training, and Library",106.0,
"Health Specialties Teachers, Postsecondary","Education, Training, and Library",105.0,
"Education Administrators, Kindergarten through Secondary",Management Occupations,104.0,
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library",101.0,
"Architecture Teachers, Postsecondary","Education, Training, and Library",101.0,
"Forestry and Conservation Science Teachers, Postsecondary","Education, Training, and Library",100.0,
Chief Sustainability Officers,Management Occupations,99.24,
Chief Executives,Management Occupations,99.24,
"Business Teachers, Postsecondary","Education, Training, and Library",97.0,
"Physics Teachers, Postsecondary","Education, Training, and Library",97.0,
"Computer Science Teachers, Postsecondary","Education, Training, and Library",96.0,
"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library",95.0,
"Political Science Teachers, Postsecondary","Education, Training, and Library",94.0,
"Environmental Science Teachers, Postsecondary","Education, Training, and Library",87.0,
"Chemistry Teachers, Postsecondary","Education, Training, and Library",86.0,
"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library",86.0,
"Geography Teachers, Postsecondary","Education, Training, and Library",86.0,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Education, Training, and Library",84.0,
"Dentists, General",Healthcare Practitioners and Technical,83.07,
"Biological Science Teachers, Postsecondary","Education, Training, and Library",83.0,
Computer and Information Systems Managers,Management Occupations,82.31,
"History Teachers, Postsecondary","Education, Training, and Library",81.0,
Architectural and Engineering Managers,Management Occupations,80.64,
Biofuels/Biodiesel Technology and Product Development Managers,Management Occupations,80.64,
"Psychology Teachers, Postsecondary","Education, Training, and Library",80.0,
"Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library",80.0,
Physicists,"Life, Physical, and Social Science",79.95,
"Mathematical Science Teachers, Postsecondary","Education, Training, and Library",79.0,
"Nursing Instructors and Teachers, Postsecondary","Education, Training, and Library",79.0,
"Philosophy and Religion Teachers, Postsecondary","Education, Training, and Library",78.0,
"Library Science Teachers, Postsecondary","Education, Training, and Library",78.0,
"Postsecondary Teachers, All Other","Education, Training, and Library",78.0,
"English Language and Literature Teachers, Postsecondary","Education, Training, and Library",78.0,
Financial Managers,Management Occupations,77.74,
Investment Fund Managers,Management Occupations,77.74,
Clinical Research Coordinators,Management Occupations,77.49,
Natural Sciences Managers,Management Occupations,77.49,
Marketing Managers,Management Occupations,77.42,
"Foreign Language and Literature Teachers, Postsecondary","Education, Training, and Library",77.0,
"Family and Consumer Sciences Teachers, Postsecondary","Education, Training, and Library",77.0,
"Communications Teachers, Postsecondary","Education, Training, and Library",77.0,
"Judges, Magistrate Judges, and Magistrates",Legal Occupations,75.1,
"Recreation and Fitness Studies Teachers, Postsecondary","Education, Training, and Library",75.0,
Computer Hardware Engineers,Architecture and Engineering,74.53,
Lawyers,Legal Occupations,72.67,
"Education Teachers, Postsecondary","Education, Training, and Library",72.0,
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library",71.0,
Air Traffic Controllers,Transportation and Material Moving,69.51,
Petroleum Engineers,Architecture and Engineering,67.92,
Computer and Information Research Scientists,Computer and Mathematical Occupations,67.74,
Compensation and Benefits Managers,Management Occupations,67.48,
Human Resources Managers,Management Occupations,67.32,
Purchasing Managers,Management Occupations,67.07,
Adapted Physical Education Specialists,"Education, Training, and Library",67.0,
Flight Attendants,Transportation and Material Moving,67.0,
Public Relations Managers,Management Occupations,66.6,
Medical Dosimetrists,Healthcare Practitioners and Technical,66.4,
Sales Managers,Management Occupations,66.38,
Brownfield Redevelopment Specialists and Site Managers,Management Occupations,65.65,
Compliance Managers,Management Occupations,65.65,
"Managers, All Other",Management Occupations,65.65,
Loss Prevention Managers,Management Occupations,65.65,
Regulatory Affairs Managers,Management Occupations,65.65,
Data Warehousing Specialists,Computer and Mathematical Occupations,65.37,
Database Architects,Computer and Mathematical Occupations,65.37,
Aerospace Engineers,Architecture and Engineering,64.82,
Anesthesiologist Assistants,Healthcare Practitioners and Technical,64.07,
Software Developers,Computer and Mathematical Occupations,63.98,
Astronomers,"Life, Physical, and Social Science",63.54,
"Career/Technical Education Teachers, Middle School","Education, Training, and Library",63.0,
"Career/Technical Education Teachers, Secondary School","Education, Training, and Library",63.0,
Telecommunications Engineering Specialists,Computer and Mathematical Occupations,62.69,
Computer Network Architects,Computer and Mathematical Occupations,62.69,
"Elementary School Teachers, Except Special Education","Education, Training, and Library",62.0,
"Middle School Teachers, Except Special and Career/Technical Education","Education, Training, and Library",62.0,
Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media",62.0,
Radio Frequency Identification Device Specialists,Architecture and Engineering,61.34,
"Electronics Engineers, Except Computer",Architecture and Engineering,61.34,
Nuclear Engineers,Architecture and Engineering,61.31,
Advertising and Promotions Managers,Management Occupations,61.04,
"Kindergarten Teachers, Except Special Education","Education, Training, and Library",61.0,
Actuaries,Computer and Mathematical Occupations,60.47,
Information Security Analysts,Computer and Mathematical Occupations,60.05,
Athletic Trainers,Healthcare Practitioners and Technical,60.0,
Fundraising Managers,Management Occupations,59.36,
Chemical Engineers,Architecture and Engineering,58.59,
Mathematicians,Computer and Mathematical Occupations,58.5,
Sales Engineers,Sales and Related,58.42,
Hydroelectric Production Managers,Management Occupations,58.39,
Industrial Production Managers,Management Occupations,58.39,
Geothermal Production Managers,Management Occupations,58.39,
Quality Control Systems Managers,Management Occupations,58.39,
Biofuels Production Managers,Management Occupations,58.39,
Biomass Power Plant Managers,Management Occupations,58.39,
Medical and Health Services Managers,Management Occupations,56.71,
"Physical Scientists, All Other","Life, Physical, and Social Science",56.71,
Nanosystems Engineers,Architecture and Engineering,56.61,
"Engineers, All Other",Architecture and Engineering,56.61,
"Energy Engineers, Except Wind and Solar",Architecture and Engineering,56.61,
Microsystems Engineers,Architecture and Engineering,56.61,
Mechatronics Engineers,Architecture and Engineering,56.61,
Photonics Engineers,Architecture and Engineering,56.61,
Clinical Neuropsychologists,"Life, Physical, and Social Science",56.53,
Neuropsychologists,"Life, Physical, and Social Science",56.53,
Economists,"Life, Physical, and Social Science",55.5,
Environmental Economists,"Life, Physical, and Social Science",55.5,
"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Occupations,55.4,
Naturopathic Physicians,Healthcare Practitioners and Technical,54.68,
"Healthcare Diagnosing or Treating Practitioners, All Other",Healthcare Practitioners and Technical,54.68,
Data Scientists,Computer and Mathematical Occupations,54.13,
Business Intelligence Analysts,Computer and Mathematical Occupations,54.13,
Clinical Data Managers,Computer and Mathematical Occupations,54.13,
Electrical Engineers,Architecture and Engineering,53.8,
Art Directors,"Arts, Design, Entertainment, Sports, and Media",53.38,
Industrial-Organizational Psychologists,"Life, Physical, and Social Science",52.81,
Fire-Prevention and Protection Engineers,Architecture and Engineering,52.72,
