title,company,location,avg_salary,description,redirect_url,experience_level,soc_code,job_category,matched_skills
Sr.Java Developer,CGI,"Pittsburgh, Allegheny County",93950.0,"Position Description: This position requires someone to be in a hybrid office work setting in Pittsburgh, PA, Cleveland, OH, Dallas, TX. We're looking for someone with a strong background in Java, Spring Boot, and cloud-based architectures, who enjoys building innovative backend solutions and thrives in a collaborative, problem-solving environment. Your future duties and responsibilities: . Design, maintain and implementation of API, microservices and backend components . Work with API develope…",https://www.adzuna.com/details/5437468542?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,"['java', 'spring']"
"Java Developer - Local to Pittsburgh, Cleveland, or Dallas",CGI,"Pittsburgh, Allegheny County",89500.0,"Position Description: This position is located in our Pittsburgh, PA, Strongsville, OH or Dallas, TX office with work performed at our client site in Pittsburgh or Strongsville or Dallas; however, a hybrid working model is acceptable. CGI is looking for an experienced Java Developer to join our Applications Development and Maintenance team, supporting our client which is a large US bank, working in an advanced technology environment. Your future duties and responsibilities: o Responsible for de…",https://www.adzuna.com/details/5437408313?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,['java']
Senior Sales Manager - Mass Transit (Mid-Atlantic USA),Hitachi,"Pittsburgh, Allegheny County",148911.58,"Location: (STS)RemoteWorker-Pittsburgh, PA Job ID: R0096948 Date Posted: 2025-08-06 Company Name: HITACHI RAIL STS USA, INC. Profession (Job Category): Sales, Marketing & Product Management Job Schedule: Full time Remote: Yes About Us A career at Hitachi Rail will help create a legacy. With operations in every corner of the world, our work goes to the cutting-edge of digital transformation and technology. From the multi-cultural strength of our global organisation to the sustainable and innovat…",https://www.adzuna.com/details/5437070998?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,[]
Software Engineer (Python/API/SQL/Microservices),PNC Bank,"Pittsburgh, Allegheny County",74953.68,"Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. As a Software Engineer within PNC's Technology organization, you will be based in Pittsburgh, PA. The position is primarily bas…",https://www.adzuna.com/details/5437066213?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,[]
Sales Development Representative - Sherpa,"Innovation Works, Inc.","Pittsburgh, Allegheny County",73434.79,"Job Description Job Description About You You want to play a key role in helping a growing, award-winning software company by leading the sales team and department initiatives. You are a strategic thinker with great ideas and an entrepreneurial spirit that is constantly looking to improve themselves and their workplace. You have hands-on experience with supporting sales and/or marketing teams. You are excited about creating a successful Sales prospecting program and improving current processes.…",https://www.adzuna.com/details/5436819425?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,[]
Tax Staff Accountant,Louis Plung & Company,"Pittsburgh, Allegheny County",49528.51,"Job Description Job Description Description: Why Join Us? Louis Plung & Company (LPC) is a growth-minded firm focused on results through collaboration between staff and clients. We offer our staff challenging work and plenty of opportunity for growth and development through our career paths. We continue to adopt new software and digital platforms to keep on top of technology changes and improve efficiency. If you are looking for a forward-thinking company where your voice will be heard, your co…",https://www.adzuna.com/details/5436819400?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,[]
Senior Software Engineer,Hospitality Innovations,"Pittsburgh, Allegheny County",119029.9,"Job Description Job Description Hospitality Innovations is solutions company bringing technology advancements to the hospitality industry. We are seeking people willing to make a real difference in a young company and have a hand in shaping how the hospitality industry operates in the future. We are building a leading technology platform and want people who value creativity, agency, integrity, and simplicity in finding solutions to complex problems. Ideally, you’re an experienced software engin…",https://www.adzuna.com/land/ad/5436802762?se=lHLYAmSk8BGGz-i-DD1n5Q&utm_medium=api&utm_source=a6e23083&v=1949B7C86656B484AB5BA016C3138633E3AACC83,N/A,15-1252,Software Developer,[]
"Travel MRI Technologist - $3,016 per week",Genie Healthcare,"Bloomfield, Allegheny County",78416.0,"Genie Healthcare is seeking a travel MRI Technologist for a travel job in Pittsburgh, Pennsylvania. Job Description & Requirements Specialty: MRI Technologist Discipline: Allied Health Professional Start Date: 11/03/2025 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel Genie Healthcare is looking for a Radiology/Imaging to work in MRI Tech for a 13 weeks travel assignment located in Pittsburg, PA for the Shift (4x10 Days-Please verify shift details with recruit…",https://www.adzuna.com/land/ad/5436711317?se=lHLYAmSk8BGGz-i-DD1n5Q&utm_medium=api&utm_source=a6e23083&v=DFD6BC5F19CC7F7A4BC3EC6EC0F9920E7B4A7D81,N/A,15-1252,Software Developer,[]
Software Engineer Lead (ETL/DevOps/Agile),PNC Financial Services Group,"Pittsburgh, Allegheny County",86950.77,"Job Description Job Profile Position Overview At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. We work together each day to foster an inclusive workplace culture where all of our employees feel respected, valued and have an opportunity to contribute to the company’s success. As a Software Engineer Lead within PNC’s C&IB organization, you will be based either in Pittsburgh,…",https://www.adzuna.com/land/ad/5436701399?se=lHLYAmSk8BGGz-i-DD1n5Q&utm_medium=api&utm_source=a6e23083&v=9E41CC63CAF6F793DAA9F6F278B2BFFECB6D88C5,N/A,15-1252,Software Developer,[]
"Staff Engineer, Electromechanical Design",Bayer,"Pittsburgh, Allegheny County",150471.33,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where 'Health for all Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of b…",https://www.adzuna.com/details/5436653597?utm_medium=api&utm_source=a6e23083,N/A,15-1252,Software Developer,[]
