Year,Month,Value,Date
2014,January,6.6,2014-01
2014,February,6.7,2014-02
2014,March,6.7,2014-03
2014,April,6.2,2014-04
2014,May,6.3,2014-05
2014,June,6.1,2014-06
2014,July,6.2,2014-07
2014,August,6.1,2014-08
2014,September,5.9,2014-09
2014,October,5.7,2014-10
2014,November,5.8,2014-11
2014,December,5.6,2014-12
2015,January,5.7,2015-01
2015,February,5.5,2015-02
2015,March,5.4,2015-03
2015,April,5.4,2015-04
2015,May,5.6,2015-05
2015,June,5.3,2015-06
2015,July,5.2,2015-07
2015,August,5.1,2015-08
2015,September,5.0,2015-09
2015,October,5.0,2015-10
2015,November,5.1,2015-11
2015,December,5.0,2015-12
2016,January,4.8,2016-01
2016,February,4.9,2016-02
2016,March,5.0,2016-03
2016,April,5.1,2016-04
2016,May,4.8,2016-05
2016,June,4.9,2016-06
2016,July,4.8,2016-07
2016,August,4.9,2016-08
2016,September,5.0,2016-09
2016,October,4.9,2016-10
2016,November,4.7,2016-11
2016,December,4.7,2016-12
2017,January,4.7,2017-01
2017,February,4.6,2017-02
2017,March,4.4,2017-03
2017,April,4.4,2017-04
2017,May,4.4,2017-05
2017,June,4.3,2017-06
2017,July,4.3,2017-07
2017,August,4.4,2017-08
2017,September,4.3,2017-09
2017,October,4.2,2017-10
2017,November,4.2,2017-11
2017,December,4.1,2017-12
2018,January,4.0,2018-01
2018,February,4.1,2018-02
2018,March,4.0,2018-03
2018,April,4.0,2018-04
2018,May,3.8,2018-05
2018,June,4.0,2018-06
2018,July,3.8,2018-07
2018,August,3.8,2018-08
2018,September,3.7,2018-09
2018,October,3.8,2018-10
2018,November,3.8,2018-11
2018,December,3.9,2018-12
2019,January,4.0,2019-01
2019,February,3.8,2019-02
2019,March,3.8,2019-03
2019,April,3.7,2019-04
2019,May,3.6,2019-05
2019,June,3.6,2019-06
2019,July,3.7,2019-07
2019,August,3.6,2019-08
2019,September,3.5,2019-09
2019,October,3.6,2019-10
2019,November,3.6,2019-11
2019,December,3.6,2019-12
2020,January,3.6,2020-01
2020,February,3.5,2020-02
2020,March,4.4,2020-03
2020,April,14.8,2020-04
2020,May,13.2,2020-05
2020,June,11.0,2020-06
2020,July,10.2,2020-07
2020,August,8.4,2020-08
2020,September,7.8,2020-09
2020,October,6.9,2020-10
2020,November,6.7,2020-11
2020,December,6.7,2020-12
2021,January,6.4,2021-01
2021,February,6.2,2021-02
2021,March,6.1,2021-03
2021,April,6.1,2021-04
2021,May,5.8,2021-05
2021,June,5.9,2021-06
2021,July,5.4,2021-07
2021,August,5.1,2021-08
2021,September,4.7,2021-09
2021,October,4.5,2021-10
2021,November,4.2,2021-11
2021,December,3.9,2021-12
2022,January,4.0,2022-01
2022,February,3.8,2022-02
2022,March,3.7,2022-03
2022,April,3.7,2022-04
2022,May,3.6,2022-05
2022,June,3.6,2022-06
2022,July,3.5,2022-07
2022,August,3.6,2022-08
2022,September,3.5,2022-09
2022,October,3.6,2022-10
2022,November,3.6,2022-11
2022,December,3.5,2022-12
2023,January,3.5,2023-01
2023,February,3.6,2023-02
2023,March,3.5,2023-03
2023,April,3.4,2023-04
2023,May,3.6,2023-05
2023,June,3.6,2023-06
2023,July,3.5,2023-07
2023,August,3.7,2023-08
2023,September,3.8,2023-09
2023,October,3.9,2023-10
2023,November,3.7,2023-11
2023,December,3.8,2023-12
2024,January,3.7,2024-01
2024,February,3.9,2024-02
2024,March,3.9,2024-03
2024,April,3.9,2024-04
2024,May,4.0,2024-05
2024,June,4.1,2024-06
2024,July,4.2,2024-07
2024,August,4.2,2024-08
2024,September,4.1,2024-09
2024,October,4.1,2024-10
2024,November,4.2,2024-11
2024,December,4.1,2024-12
