title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
AI/ML Engineer,Akkodis,"Charlotte, Clinton County",IT Jobs,129310.88,129310.88,1,"Job Description Job Description Akkodis is seeking an AI/ML Engineer for a Contract job with a client in Charlotte, NC(Hybrid) . You will automate root cause analysis workflows to reduce incident response times and collaborate with cross-functional teams to identify AI use cases for scalable solutions. Rate Range: $65/hour to $75/hour; The rate may be negotiable based on experience, education, geographic location, and other factors. AI/ML Engineer job responsibilities include: Designing and imp…",https://www.adzuna.com/land/ad/5384644021?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=581A8FCBF5171406136C070A31DC425884B809A8
AI/ML Intern,Paystand,"Santa Cruz, Santa Cruz County",IT Jobs,65421.16,65421.16,1,"Job Description Job Description At Paystand, we're not just another fintech company—we're trailblazers in decentralized finance (DeFi), transforming how businesses manage their finances. With thriving hubs in Santa Cruz, San Francisco, Austin, Minneapolis, Mexico City, Hermosillo, and Guadalajara, we're leading a global revolution in financial systems. Recognized on the Inc. 5000 list for five consecutive years, we're among the fastest-growing companies reshaping the future of finance. Our Expa…",https://www.adzuna.com/land/ad/5410663423?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3505C40532C20DE3F4BCD29835E582058220DD84
Sr. AI/ML Engineer,Quilr,"Austin, Travis County",IT Jobs,95852.13,95852.13,1,Job Description Job Description Quilr is a start up in stealth mode based out of Austin. We are aiming to solve a problem in the Cybersecurity space that has been untouched till now. The founder has a 12 year history in Cybersecurity and has exited a company for $1B. We are looking for a Senior Data Scientist to join our team to build a core engine of the product. The Senior Data Scientist will work closely with fellow developers to build the product. We are looking for someone who is very know…,https://www.adzuna.com/land/ad/5398650060?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=98CCE06D610D1A5B9BF10665068F0D83658FEA74
AI/ML Specialist,"Think Tank, Inc.",US,Scientific & QA Jobs,80758.86,80758.86,1,Job Description Job Description *US Citizenship Required *Onsite at a NEFSC Facility POSITION DESCRIPTION: Think Tank is a woman-owned small business with more than 27 years of proven success delivering exceptional IT and marine fisheries services to the federal government. We are currently seeking an ideal candidate for the position of AI/ML Specialist to support an upcoming proposal with the National Oceanic and Atmospheric Administration. Résumé of successful candidate(s) will be included wi…,https://www.adzuna.com/land/ad/5387904599?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=D30EA7D6DEB16F401718DC5A38A29539A2454D28
AI/ML Developer Advocate,Snorkel AI,"Portola Valley, San Mateo County",IT Jobs,246223.0,246223.0,1,"We’re on a mission to democratize AI by building the definitive AI data development platform. The AI landscape has gone through incredible change between 2016, when Snorkel started as a research project in the Stanford AI Lab, to the generative AI breakthroughs of today. But one thing has remained constant: the data you use to build AI is the key to achieving differentiation, high performance, and production-ready systems. We work with some of the world’s largest organizations to empower scient…",https://www.adzuna.com/land/ad/5228865904?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=C1E35A0DEE988FB9982DFC736964A7AC262CA2C5
Principal AI/ML Engineer,Resideo,"Bee Cave, Travis County",Engineering Jobs,148189.64,148189.64,1,"At Resideo, we’re building the future of the smart home—intelligent, adaptive, and deeply aware of its environment. As part of our AI Team, you’ll help deliver real-world machine learning systems that power next-generation experiences across security, energy, and automation. We’re looking for a Principal AI/ML Engineer with a secure foundation in AI/ML and applied experience in computer vision and/or large language models to lead the design and deployment of models that run across edge devices,…",https://www.adzuna.com/land/ad/5401459330?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=A59476C9A997539D9761F5321D0F73027CC90A61
AI/ML Modeller VP,Barclays,"Grand Central, Manhattan",Accounting & Finance Jobs,326750.4,326750.4,1,"Join us as an AI/ML Modeller VP. At Barclays, our vision is clear—to redefine the future of banking and help craft innovative solutions. Within Global Markets, we are building an AI/ML capability from the ground up, adopting a start-up mindset that values collaboration, and a relentless focus on results. As part of this greenfield function, you will leverage your deep knowledge to design, develop, and deploy sophisticated machine learning models that enhance trading strategies and distribution …",https://www.adzuna.com/land/ad/5410742261?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=BDF1A376A252B5EA810F04ADE8DBD021BEB5A90E
AI/ML Modeller VP,Barclays,"Grand Central, Manhattan",Accounting & Finance Jobs,328044.9,328044.9,1,"Join us as an AI/ML Modeller VP. At Barclays, our vision is clear—to redefine the future of banking and help craft innovative solutions. Within Global Markets, we are building an AI/ML capability from the ground up, adopting a start-up mindset that values collaboration, and a relentless focus on results. As part of this greenfield function, you will leverage your deep knowledge to design, develop, and deploy sophisticated machine learning models that enhance trading strategies and distribution …",https://www.adzuna.com/land/ad/5410742020?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=CFE2E4EA7CCA5AACC6E0D2ABD92098959DB2B1C9
"Data Scientist - AI, ML, NLP Developer",Rule14,"Los Angeles, Los Angeles County",IT Jobs,97838.89,97838.89,1,"Job Description Job Description Job Description We're looking for talent in data science, AI, neural networks, natural language processing, and algorithm development who are interested in working full-time with our company in Santa Monica. Specifically, we're hiring for the design and implementation of a various classification, extraction, and summarization algorithms within the legal, financial, and healthcare domains. Desired Skills and Expertise We love grad students: High-caliber contributi…",https://www.adzuna.com/land/ad/5366599439?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=961329B363012C07E0DF761C756CCD62806C004F
Principal AI/ML Engineer​,Cargill,"Atlanta, Fulton County",Engineering Jobs,306293.9,306293.9,1,"Cargill’s size and scale allows us to make a positive impact in the world. Our purpose is to nourish the world in a safe, responsible and sustainable way. We are a family company providing food, ingredients, agricultural solutions and industrial products that are vital for living. We connect farmers with markets so they can prosper. We connect customers with ingredients so they can make meals people love. And we connect families with daily essentials — from eggs to edible oils, salt to skincare…",https://www.adzuna.com/land/ad/5262372166?se=ZoZyfT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=B0D4EA1C8F160F4C47BFF04122A9022AA63200C0
