title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
IT Director,Robert Half,"Grand Rapids, Kent County",IT Jobs,130000.0,170000.0,0,"Job Description Job Description We are looking for an experienced IT Director to guide and oversee our technology operations while driving innovation and efficiency. In this role, you will play a crucial part in shaping our IT infrastructure and ensuring it aligns with organizational goals. The ideal candidate will bring a strategic mindset, strong leadership abilities, and a passion for leveraging technology to achieve business success. Responsibilities: • Lead and manage the IT department, fo…",https://www.adzuna.com/land/ad/5393640238?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=C46680921220D1D00DAFCD534EA8DB5C1FF6BD29
IT Job Training Program,Year Up United,"Hialeah Gardens, Miami-Dade County",Teaching Jobs,38853.73,38853.73,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5366573736?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3145CA8B655E348A8B7E8AFCBF91928D7BFCCD3E
IT Job Training Program,Year Up United,"Woonsocket, Providence County",Teaching Jobs,41703.64,41703.64,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5392365743?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=DC301DEC5D9E635397C5A7EA4B6D06B4A7E28581
IT Job Training Program,Year Up United,"Tarrytown, Travis County",Teaching Jobs,38516.05,38516.05,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5198609031?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=31D676E1E3EEA6476216751C785E35E18381AE6D
IT Job Training Opportunity,Year Up United,"Morningdale, Worcester County",IT Jobs,55523.28,55523.28,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5376514513?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=17A3012A357135FB05754CC938F7F5D954A46CA0
IT Job Training Program,Year Up United,"West Miami, Miami-Dade County",Teaching Jobs,33213.84,33213.84,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5361847969?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=F34073177735BE0FC6290C23A0C9466EE828436B
IT Job Training Program,Year Up United,"Cedar Park, Williamson County",Teaching Jobs,31594.51,31594.51,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5346728337?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=0C936AE8403B42169F10211028B3D2AABF9962D6
IT Job Training Opportunity,Year Up United,"Brockton, Plymouth County",IT Jobs,53456.69,53456.69,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5347623491?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=EE7CD270862B82E09DC3DE701E551E7EAC722908
IT Job Training Opportunity,Year Up United,"Bedford, Middlesex County",IT Jobs,61234.31,61234.31,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5328496403?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=5F7BC54487CC425D520BFA7ADA52B20D50F4DB56
IT Job Training Program,Year Up United,"East Providence, Providence County",Teaching Jobs,32237.91,32237.91,1,"Year Up United is a one-year or less, intensive job training program that provides young adults with in-classroom skill development, access to internships and/or job placement services, and personalized coaching and mentorship. Year Up United participants also receive an educational stipend. The program combines technical and professional training with access to internships and job placement support through our industry-leading talent placement firm YUPRO Placement. If you receive an internship…",https://www.adzuna.com/land/ad/5392365163?se=3mifjD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=B775B05027786D8CEE5AF21988BE0634557BBA5D
