title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
Technical Product Manager,V2Soft,"Dearborn, Wayne County",IT Jobs,122083.15,122083.15,1,"V2Soft is a global leader in IT services and business solutions, delivering innovative and cost-effective technology solutions worldwide since 1998. We have headquarteerd in Bloomfiled Hills, MI and have 16 offices spread across six countries. We partner with Fortune 500 companies to address complex business challenges. Our services span AI, IT staffing, cloud computing, engineering, mobility, testing, and more. Certified with CMMI Level 3 and ISO standards, V2Soft is committed to quality and s…",https://www.adzuna.com/land/ad/5404917245?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=54F3CAA2133FDAEECD1CD00980AB5158EE61AA92
Senior Technical Product Manager,Encore Capital Group,"San Diego, San Diego County",IT Jobs,112049.24,112049.24,1,The Technical Product Manager will be building and managing the Roadmap for our Digital Transformation and Web Applications. Responsibilities include: Perform strategic and tactical alignments with business stakeholders. Act as Product Owner for Product Scrum Team . Document business requirements and definition of done. Lead Product Adoptions and UAT meetings & demos. We are looking for: Proven experience managing digital and web application product roadmaps. 5 years experience working as a BSA…,https://www.adzuna.com/land/ad/5328304552?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3B8EBA0F7053603803308FC6BF0D054B4BD84E74
Technical Product Manager - Senior,Axelon Services Corporation,"Bothell, King County",IT Jobs,109336.78,109336.78,1,"Title: Technical Product Manager - Senior Location: Location: Bothell, WA or Atlanta, GA preferred or this will be a remote position. Job Description: 8 years of product management experience. Serves as the voice of the customer, understanding the customers needs and communicate those to the team. Solid technical background with understanding and experience in software development, architecture, micro services and web technologies Strong knowledge in AEM, Component building, React, JSON, Conten…",https://www.adzuna.com/land/ad/5404775636?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=E4C0D27C2B64F63D7FA83C065E4411D700AE935C
"Senior Technical Product Manager, Software",Kymeta,"Woodinville, King County",Engineering Jobs,200202.5,200202.5,1,"Sr. Technical Product Manager, Software Who We Are Kymeta revolutionizes satellite communications through Intelligent Communications Platforms (ICPs). Our electronically steered flat panel antennas enable seamless communications on-the-move. Kymeta solutions serve government, military, maritime, transport, and public safety clients worldwide, providing uninterrupted connectivity and spatial intelligence anywhere, anytime. With over 150 patents, Kymeta is shaping the future of global communicati…",https://www.adzuna.com/land/ad/5412233449?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=29D68CE4A957B33A13A92DD195B6C626BF5ADF69
"Director, POM Technical Product Management",bny mellon,"Grand Central, Manhattan",IT Jobs,226103.2,226103.2,1,"At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide. Recognized as a top destination for innovators and cha…",https://www.adzuna.com/land/ad/5367537285?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=5A2D19C54DD8CE2EA545CE5AC1D6EEC48B7557AC
Senior Technical Product Manager,MarginEdge,"Arlington, Arlington County",IT Jobs,125266.32,125266.32,1,Job Description Job Description MarginEdge is seeking a Senior Technical Product Manager to own and continue building out our new software platform for invoice processing that utilizes a mix of artificial intelligence and human input to largely automate invoice processing and classify restaurant purchasing data. This role will work closely with the leaders of Engineering and Data Science as part of the larger Product Management team reporting to our Director of Technical Product Management. Our…,https://www.adzuna.com/land/ad/5397729455?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=28CFC61519ECFDBB0C7F99F9E916324E7FB7AF3D
Technical Product Manager,Cisco,"Campbell, Santa Clara County",Engineering Jobs,189369.23,189369.23,1,"Technical Product Manager Apply (https://jobs.cisco.com/jobs/Login?projectId=1446215)  Location:San Jose, California, US  Area of InterestEngineer - Pre Sales and Product Management  Compensation Range152400 USD - 221800 USD  Job TypeProfessional  Technology InterestCloud and Data Center, Networking, Software Development  Job Id1446215 The application window is expected to close on: 09/25/2025 NOTE: Job posting may be removed earlier if the position is filled or if a sufficient number of applic…",https://www.adzuna.com/land/ad/5317968346?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=0F4833EA9EC28E33879F47B3A881DAE204058275
Technical Product Manager,Cengage Group,"Minneapolis, Hennepin County",Engineering Jobs,121177.92,121177.92,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5370992085?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=CAF32C37506580EFFF352A95225BF669959A1D6A
Technical Product Manager,Cengage Group,"Detroit, Wayne County",Engineering Jobs,121702.56,121702.56,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5370992177?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=997AD8A737A277FC2ACF8128B6A89FAE2702CF47
Technical Product Manager,Cengage Group,"Five Points, Wake County",Engineering Jobs,100853.6,100853.6,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5370748596?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=8BDFCEA712E82234DDE29481E6741088C51802B1
Technical Product Manager,Cengage Group,"Redstone Arsenal, Madison County",Engineering Jobs,74609.86,74609.86,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5370988700?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=637C19856670AC5865EE7B8A4981B9950B144974
Technical Product Manager,Cengage Group,"Archer, Laramie County",Engineering Jobs,88534.34,88534.34,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5371013278?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=8CC473744678D0B6F4A45B8FB1029C5B2320312C
Technical Product Manager,Cengage Group,"Kansas City, Jackson County",Engineering Jobs,99749.18,99749.18,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5371006954?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=B63C64AFBAF20E724B17F4F38AD8ED52299F2BD4
Technical Product Manager,Cengage Group,"Paradise, Clark County",Engineering Jobs,88787.32,88787.32,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5371001866?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=2DD94B0621E9B93AECB19C3D70A669E612A48EF5
Technical Product Manager,Cengage Group,"Des Moines, Polk County",Engineering Jobs,100499.51,100499.51,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5371795599?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=268D0300BF728D1981EFBA04CD850C1CE6C5C58B
Technical Product Manager,Cengage Group,"Wilmington, New Castle County",Engineering Jobs,101408.36,101408.36,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5371040409?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=BA48CB47A09C2BA2F915F1D5563977261B2C8BEB
Technical Product Manager,Cengage Group,"International, King County",Engineering Jobs,106392.27,106392.27,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5371022999?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3445788DFB48859C78C2EAF52D362448B9167330
Technical Product Manager,Cengage Group,"Glendale, Denver",Engineering Jobs,102572.52,102572.52,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5370989329?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=4829D753155986D7DEA34D72AA80FBF9A11B8FCA
Technical Product Manager,Cengage Group,"Pico Heights, Los Angeles County",Engineering Jobs,100487.43,100487.43,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5373334462?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3D9F49F8FA6A6C83ACE0E72F942B3EB1AF55B770
Technical Product Manager,Cengage Group,"Lockwood, Yellowstone County",Engineering Jobs,98948.77,98948.77,1,"We believe in the power and joy of learning At Cengage Group, our employees have a direct impact in helping students around the world discover the power and joy of learning. We are bonded by our shared purpose - driving innovation that helps millions of learners improve their lives and achieve their dreams through education. Our culture values inclusion, engagement, and discovery Our business is driven by our strong culture, and we know that creating an inclusive workplace is absolutely essenti…",https://www.adzuna.com/land/ad/5370757991?se=jCvinD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=7A7501FF26F9CC99AD06C609BF47C4A4441A853E
