Year,Month,Value,Date
2015,January,24.75,2015-01
2015,February,24.8,2015-02
2015,March,24.85,2015-03
2015,April,24.89,2015-04
2015,May,24.97,2015-05
2015,June,24.97,2015-06
2015,July,25.01,2015-07
2015,August,25.09,2015-08
2015,September,25.11,2015-09
2015,October,25.2,2015-10
2015,November,25.25,2015-11
2015,December,25.25,2015-12
2016,January,25.37,2016-01
2016,February,25.38,2016-02
2016,March,25.45,2016-03
2016,April,25.53,2016-04
2016,May,25.58,2016-05
2016,June,25.62,2016-06
2016,July,25.69,2016-07
2016,August,25.71,2016-08
2016,September,25.77,2016-09
2016,October,25.9,2016-10
2016,November,25.9,2016-11
2016,December,25.93,2016-12
2017,January,26.0,2017-01
2017,February,26.07,2017-02
2017,March,26.11,2017-03
2017,April,26.17,2017-04
2017,May,26.21,2017-05
2017,June,26.26,2017-06
2017,July,26.35,2017-07
2017,August,26.37,2017-08
2017,September,26.49,2017-09
2017,October,26.5,2017-10
2017,November,26.54,2017-11
2017,December,26.63,2017-12
2018,January,26.72,2018-01
2018,February,26.74,2018-02
2018,March,26.85,2018-03
2018,April,26.91,2018-04
2018,May,26.98,2018-05
2018,June,27.03,2018-06
2018,July,27.1,2018-07
2018,August,27.21,2018-08
2018,September,27.32,2018-09
2018,October,27.37,2018-10
2018,November,27.44,2018-11
2018,December,27.56,2018-12
2019,January,27.59,2019-01
2019,February,27.69,2019-02
2019,March,27.77,2019-03
2019,April,27.79,2019-04
2019,May,27.88,2019-05
2019,June,27.96,2019-06
2019,July,28.03,2019-07
2019,August,28.14,2019-08
2019,September,28.16,2019-09
2019,October,28.23,2019-10
2019,November,28.34,2019-11
2019,December,28.38,2019-12
2020,January,28.43,2020-01
2020,February,28.54,2020-02
2020,March,28.74,2020-03
2020,April,30.04,2020-04
2020,May,29.72,2020-05
2020,June,29.38,2020-06
2020,July,29.39,2020-07
2020,August,29.5,2020-08
2020,September,29.51,2020-09
2020,October,29.55,2020-10
2020,November,29.64,2020-11
2020,December,29.91,2020-12
2021,January,29.92,2021-01
2021,February,30.07,2021-02
2021,March,30.04,2021-03
2021,April,30.23,2021-04
2021,May,30.41,2021-05
2021,June,30.55,2021-06
2021,July,30.66,2021-07
2021,August,30.79,2021-08
2021,September,30.96,2021-09
2021,October,31.15,2021-10
2021,November,31.25,2021-11
2021,December,31.41,2021-12
2022,January,31.62,2022-01
2022,February,31.66,2022-02
2022,March,31.82,2022-03
2022,April,31.96,2022-04
2022,May,32.1,2022-05
2022,June,32.2,2022-06
2022,July,32.35,2022-07
2022,August,32.44,2022-08
2022,September,32.55,2022-09
2022,October,32.7,2022-10
2022,November,32.84,2022-11
2022,December,32.96,2022-12
2023,January,33.05,2023-01
2023,February,33.16,2023-02
2023,March,33.28,2023-03
2023,April,33.42,2023-04
2023,May,33.52,2023-05
2023,June,33.69,2023-06
2023,July,33.84,2023-07
2023,August,33.89,2023-08
2023,September,33.99,2023-09
2023,October,34.07,2023-10
2023,November,34.19,2023-11
2023,December,34.31,2023-12
2024,January,34.47,2024-01
2024,February,34.54,2024-02
2024,March,34.67,2024-03
2024,April,34.75,2024-04
2024,May,34.89,2024-05
2024,June,35.0,2024-06
2024,July,35.07,2024-07
2024,August,35.23,2024-08
2024,September,35.33,2024-09
2024,October,35.48,2024-10
2024,November,35.61,2024-11
2024,December,35.68,2024-12
