Year,Month,Value,Date
2015,January,148145.0,2015-01
2015,February,148045.0,2015-02
2015,March,148128.0,2015-03
2015,April,148511.0,2015-04
2015,May,148817.0,2015-05
2015,June,148816.0,2015-06
2015,July,148830.0,2015-07
2015,August,149181.0,2015-08
2015,September,148826.0,2015-09
2015,October,149246.0,2015-10
2015,November,149463.0,2015-11
2015,December,150128.0,2015-12
2016,January,150653.0,2016-01
2016,February,150939.0,2016-02
2016,March,151218.0,2016-03
2016,April,151074.0,2016-04
2016,May,151132.0,2016-05
2016,June,151223.0,2016-06
2016,July,151554.0,2016-07
2016,August,151779.0,2016-08
2016,September,151761.0,2016-09
2016,October,151793.0,2016-10
2016,November,151954.0,2016-11
2016,December,152157.0,2016-12
2017,January,152152.0,2017-01
2017,February,152480.0,2017-02
2017,March,153065.0,2017-03
2017,April,153255.0,2017-04
2017,May,153069.0,2017-05
2017,June,153318.0,2017-06
2017,July,153569.0,2017-07
2017,August,153503.0,2017-08
2017,September,154286.0,2017-09
2017,October,153609.0,2017-10
2017,November,153805.0,2017-11
2017,December,153904.0,2017-12
2018,January,154425.0,2018-01
2018,February,155197.0,2018-02
2018,March,155214.0,2018-03
2018,April,155312.0,2018-04
2018,May,155652.0,2018-05
2018,June,155762.0,2018-06
2018,July,156146.0,2018-07
2018,August,155504.0,2018-08
2018,September,156015.0,2018-09
2018,October,156391.0,2018-10
2018,November,156721.0,2018-11
2018,December,156817.0,2018-12
2019,January,156487.0,2019-01
2019,February,156863.0,2019-02
2019,March,156701.0,2019-03
2019,April,156625.0,2019-04
2019,May,156821.0,2019-05
2019,June,157232.0,2019-06
2019,July,157529.0,2019-07
2019,August,157829.0,2019-08
2019,September,158339.0,2019-09
2019,October,158545.0,2019-10
2019,November,158629.0,2019-11
2019,December,158845.0,2019-12
2020,January,158508.0,2020-01
2020,February,158714.0,2020-02
2020,March,155353.0,2020-03
2020,April,133185.0,2020-04
2020,May,137173.0,2020-05
2020,June,142342.0,2020-06
2020,July,143779.0,2020-07
2020,August,147245.0,2020-08
2020,September,147620.0,2020-09
2020,October,149931.0,2020-10
2020,November,149934.0,2020-11
2020,December,149975.0,2020-12
2021,January,149852.0,2021-01
2021,February,150189.0,2021-02
2021,March,150644.0,2021-03
2021,April,151081.0,2021-04
2021,May,151535.0,2021-05
2021,June,151734.0,2021-06
2021,July,152773.0,2021-07
2021,August,153250.0,2021-08
2021,September,153843.0,2021-09
2021,October,154475.0,2021-10
2021,November,155530.0,2021-11
2021,December,156099.0,2021-12
2022,January,157115.0,2022-01
2022,February,157598.0,2022-02
2022,March,158206.0,2022-03
2022,April,157891.0,2022-04
2022,May,158378.0,2022-05
2022,June,158094.0,2022-06
2022,July,158258.0,2022-07
2022,August,158735.0,2022-08
2022,September,158810.0,2022-09
2022,October,158684.0,2022-10
2022,November,158507.0,2022-11
2022,December,159259.0,2022-12
2023,January,160217.0,2023-01
2023,February,160395.0,2023-02
2023,March,160812.0,2023-03
2023,April,160974.0,2023-04
2023,May,160796.0,2023-05
2023,June,160979.0,2023-06
2023,July,161183.0,2023-07
2023,August,161475.0,2023-08
2023,September,161442.0,2023-09
2023,October,161211.0,2023-10
2023,November,161886.0,2023-11
2023,December,161124.0,2023-12
2024,January,161190.0,2024-01
2024,February,161013.0,2024-02
2024,March,161425.0,2024-03
2024,April,161495.0,2024-04
2024,May,161164.0,2024-05
2024,June,161155.0,2024-06
2024,July,161219.0,2024-07
2024,August,161425.0,2024-08
2024,September,161802.0,2024-09
2024,October,161456.0,2024-10
2024,November,161183.0,2024-11
2024,December,161661.0,2024-12
