Year,Month,Value,Date
2015,January,157030.0,2015-01
2015,February,156644.0,2015-02
2015,March,156643.0,2015-03
2015,April,157060.0,2015-04
2015,May,157651.0,2015-05
2015,June,157062.0,2015-06
2015,July,156997.0,2015-07
2015,August,157172.0,2015-08
2015,September,156733.0,2015-09
2015,October,157167.0,2015-10
2015,November,157463.0,2015-11
2015,December,158035.0,2015-12
2016,January,158280.0,2016-01
2016,February,158640.0,2016-02
2016,March,159179.0,2016-03
2016,April,159141.0,2016-04
2016,May,158784.0,2016-05
2016,June,158967.0,2016-06
2016,July,159194.0,2016-07
2016,August,159562.0,2016-08
2016,September,159714.0,2016-09
2016,October,159605.0,2016-10
2016,November,159506.0,2016-11
2016,December,159678.0,2016-12
2017,January,159620.0,2017-01
2017,February,159859.0,2017-02
2017,March,160137.0,2017-03
2017,April,160345.0,2017-04
2017,May,160068.0,2017-05
2017,June,160192.0,2017-06
2017,July,160462.0,2017-07
2017,August,160586.0,2017-08
2017,September,161140.0,2017-09
2017,October,160309.0,2017-10
2017,November,160579.0,2017-11
2017,December,160535.0,2017-12
2018,January,160914.0,2018-01
2018,February,161778.0,2018-02
2018,March,161686.0,2018-03
2018,April,161771.0,2018-04
2018,May,161848.0,2018-05
2018,June,162210.0,2018-06
2018,July,162341.0,2018-07
2018,August,161660.0,2018-08
2018,September,162087.0,2018-09
2018,October,162602.0,2018-10
2018,November,162836.0,2018-11
2018,December,163206.0,2018-12
2019,January,162963.0,2019-01
2019,February,162999.0,2019-02
2019,March,162904.0,2019-03
2019,April,162586.0,2019-04
2019,May,162751.0,2019-05
2019,June,163168.0,2019-06
2019,July,163590.0,2019-07
2019,August,163774.0,2019-08
2019,September,164092.0,2019-09
2019,October,164416.0,2019-10
2019,November,164496.0,2019-11
2019,December,164699.0,2019-12
2020,January,164377.0,2020-01
2020,February,164467.0,2020-02
2020,March,162559.0,2020-03
2020,April,156269.0,2020-04
2020,May,158101.0,2020-05
2020,June,159994.0,2020-06
2020,July,160132.0,2020-07
2020,August,160706.0,2020-08
2020,September,160174.0,2020-09
2020,October,161003.0,2020-10
2020,November,160629.0,2020-11
2020,December,160745.0,2020-12
2021,January,160088.0,2021-01
2021,February,160184.0,2021-02
2021,March,160400.0,2021-03
2021,April,160843.0,2021-04
2021,May,160800.0,2021-05
2021,June,161197.0,2021-06
2021,July,161504.0,2021-07
2021,August,161527.0,2021-08
2021,September,161495.0,2021-09
2021,October,161754.0,2021-10
2021,November,162281.0,2021-11
2021,December,162497.0,2021-12
2022,January,163627.0,2022-01
2022,February,163899.0,2022-02
2022,March,164220.0,2022-03
2022,April,163893.0,2022-04
2022,May,164362.0,2022-05
2022,June,164046.0,2022-06
2022,July,164026.0,2022-07
2022,August,164654.0,2022-08
2022,September,164602.0,2022-09
2022,October,164648.0,2022-10
2022,November,164450.0,2022-11
2022,December,165025.0,2022-12
2023,January,165964.0,2023-01
2023,February,166358.0,2023-02
2023,March,166651.0,2023-03
2023,April,166725.0,2023-04
2023,May,166886.0,2023-05
2023,June,166937.0,2023-06
2023,July,167103.0,2023-07
2023,August,167759.0,2023-08
2023,September,167767.0,2023-09
2023,October,167690.0,2023-10
2023,November,168140.0,2023-11
2023,December,167439.0,2023-12
2024,January,167339.0,2024-01
2024,February,167475.0,2024-02
2024,March,167922.0,2024-03
2024,April,167988.0,2024-04
2024,May,167799.0,2024-05
2024,June,168005.0,2024-06
2024,July,168315.0,2024-07
2024,August,168496.0,2024-08
2024,September,168703.0,2024-09
2024,October,168428.0,2024-10
2024,November,168304.0,2024-11
2024,December,168547.0,2024-12
