Year,Month,Value,Date
2015,January,8885.0,2015-01
2015,February,8599.0,2015-02
2015,March,8515.0,2015-03
2015,April,8550.0,2015-04
2015,May,8834.0,2015-05
2015,June,8247.0,2015-06
2015,July,8167.0,2015-07
2015,August,7992.0,2015-08
2015,September,7907.0,2015-09
2015,October,7922.0,2015-10
2015,November,8000.0,2015-11
2015,December,7907.0,2015-12
2016,January,7627.0,2016-01
2016,February,7702.0,2016-02
2016,March,7961.0,2016-03
2016,April,8067.0,2016-04
2016,May,7652.0,2016-05
2016,June,7744.0,2016-06
2016,July,7641.0,2016-07
2016,August,7784.0,2016-08
2016,September,7953.0,2016-09
2016,October,7811.0,2016-10
2016,November,7553.0,2016-11
2016,December,7521.0,2016-12
2017,January,7468.0,2017-01
2017,February,7379.0,2017-02
2017,March,7073.0,2017-03
2017,April,7089.0,2017-04
2017,May,7000.0,2017-05
2017,June,6873.0,2017-06
2017,July,6892.0,2017-07
2017,August,7082.0,2017-08
2017,September,6854.0,2017-09
2017,October,6700.0,2017-10
2017,November,6774.0,2017-11
2017,December,6632.0,2017-12
2018,January,6489.0,2018-01
2018,February,6581.0,2018-02
2018,March,6472.0,2018-03
2018,April,6459.0,2018-04
2018,May,6196.0,2018-05
2018,June,6447.0,2018-06
2018,July,6195.0,2018-07
2018,August,6156.0,2018-08
2018,September,6073.0,2018-09
2018,October,6211.0,2018-10
2018,November,6115.0,2018-11
2018,December,6389.0,2018-12
2019,January,6475.0,2019-01
2019,February,6136.0,2019-02
2019,March,6202.0,2019-03
2019,April,5961.0,2019-04
2019,May,5930.0,2019-05
2019,June,5935.0,2019-06
2019,July,6061.0,2019-07
2019,August,5945.0,2019-08
2019,September,5753.0,2019-09
2019,October,5871.0,2019-10
2019,November,5868.0,2019-11
2019,December,5853.0,2019-12
2020,January,5869.0,2020-01
2020,February,5753.0,2020-02
2020,March,7206.0,2020-03
2020,April,23084.0,2020-04
2020,May,20929.0,2020-05
2020,June,17652.0,2020-06
2020,July,16352.0,2020-07
2020,August,13461.0,2020-08
2020,September,12554.0,2020-09
2020,October,11072.0,2020-10
2020,November,10694.0,2020-11
2020,December,10770.0,2020-12
2021,January,10236.0,2021-01
2021,February,9995.0,2021-02
2021,March,9756.0,2021-03
2021,April,9762.0,2021-04
2021,May,9266.0,2021-05
2021,June,9462.0,2021-06
2021,July,8731.0,2021-07
2021,August,8276.0,2021-08
2021,September,7652.0,2021-09
2021,October,7279.0,2021-10
2021,November,6751.0,2021-11
2021,December,6398.0,2021-12
2022,January,6512.0,2022-01
2022,February,6301.0,2022-02
2022,March,6014.0,2022-03
2022,April,6002.0,2022-04
2022,May,5983.0,2022-05
2022,June,5951.0,2022-06
2022,July,5768.0,2022-07
2022,August,5919.0,2022-08
2022,September,5792.0,2022-09
2022,October,5964.0,2022-10
2022,November,5943.0,2022-11
2022,December,5766.0,2022-12
2023,January,5747.0,2023-01
2023,February,5962.0,2023-02
2023,March,5839.0,2023-03
2023,April,5751.0,2023-04
2023,May,6089.0,2023-05
2023,June,5958.0,2023-06
2023,July,5920.0,2023-07
2023,August,6284.0,2023-08
2023,September,6326.0,2023-09
2023,October,6479.0,2023-10
2023,November,6254.0,2023-11
2023,December,6315.0,2023-12
2024,January,6149.0,2024-01
2024,February,6462.0,2024-02
2024,March,6497.0,2024-03
2024,April,6492.0,2024-04
2024,May,6635.0,2024-05
2024,June,6849.0,2024-06
2024,July,7097.0,2024-07
2024,August,7071.0,2024-08
2024,September,6901.0,2024-09
2024,October,6972.0,2024-10
2024,November,7121.0,2024-11
2024,December,6886.0,2024-12
