Year,Month,Value,Date
2015,January,2740.0,2015-01
2015,February,2741.0,2015-02
2015,March,2737.0,2015-03
2015,April,2742.0,2015-04
2015,May,2747.0,2015-05
2015,June,2748.0,2015-06
2015,July,2752.0,2015-07
2015,August,2751.0,2015-08
2015,September,2764.0,2015-09
2015,October,2766.0,2015-10
2015,November,2751.0,2015-11
2015,December,2761.0,2015-12
2016,January,2762.0,2016-01
2016,February,2775.0,2016-02
2016,March,2785.0,2016-03
2016,April,2789.0,2016-04
2016,May,2751.0,2016-05
2016,June,2801.0,2016-06
2016,July,2799.0,2016-07
2016,August,2803.0,2016-08
2016,September,2817.0,2016-09
2016,October,2814.0,2016-10
2016,November,2812.0,2016-11
2016,December,2817.0,2016-12
2017,January,2821.0,2017-01
2017,February,2815.0,2017-02
2017,March,2813.0,2017-03
2017,April,2804.0,2017-04
2017,May,2801.0,2017-05
2017,June,2811.0,2017-06
2017,July,2809.0,2017-07
2017,August,2813.0,2017-08
2017,September,2816.0,2017-09
2017,October,2811.0,2017-10
2017,November,2815.0,2017-11
2017,December,2818.0,2017-12
2018,January,2817.0,2018-01
2018,February,2819.0,2018-02
2018,March,2826.0,2018-03
2018,April,2838.0,2018-04
2018,May,2841.0,2018-05
2018,June,2838.0,2018-06
2018,July,2841.0,2018-07
2018,August,2840.0,2018-08
2018,September,2838.0,2018-09
2018,October,2850.0,2018-10
2018,November,2850.0,2018-11
2018,December,2851.0,2018-12
2019,January,2842.0,2019-01
2019,February,2843.0,2019-02
2019,March,2849.0,2019-03
2019,April,2846.0,2019-04
2019,May,2858.0,2019-05
2019,June,2875.0,2019-06
2019,July,2866.0,2019-07
2019,August,2865.0,2019-08
2019,September,2871.0,2019-09
2019,October,2874.0,2019-10
2019,November,2885.0,2019-11
2019,December,2891.0,2019-12
2020,January,2901.0,2020-01
2020,February,2910.0,2020-02
2020,March,2902.0,2020-03
2020,April,2643.0,2020-04
2020,May,2609.0,2020-05
2020,June,2622.0,2020-06
2020,July,2622.0,2020-07
2020,August,2640.0,2020-08
2020,September,2695.0,2020-09
2020,October,2684.0,2020-10
2020,November,2696.0,2020-11
2020,December,2712.0,2020-12
2021,January,2750.0,2021-01
2021,February,2767.0,2021-02
2021,March,2774.0,2021-03
2021,April,2796.0,2021-04
2021,May,2818.0,2021-05
2021,June,2837.0,2021-06
2021,July,2872.0,2021-07
2021,August,2900.0,2021-08
2021,September,2916.0,2021-09
2021,October,2933.0,2021-10
2021,November,2949.0,2021-11
2021,December,2961.0,2021-12
2022,January,2984.0,2022-01
2022,February,2994.0,2022-02
2022,March,3024.0,2022-03
2022,April,3036.0,2022-04
2022,May,3059.0,2022-05
2022,June,3081.0,2022-06
2022,July,3095.0,2022-07
2022,August,3092.0,2022-08
2022,September,3094.0,2022-09
2022,October,3095.0,2022-10
2022,November,3105.0,2022-11
2022,December,3087.0,2022-12
2023,January,3062.0,2023-01
2023,February,3052.0,2023-02
2023,March,3056.0,2023-03
2023,April,3050.0,2023-04
2023,May,3035.0,2023-05
2023,June,3024.0,2023-06
2023,July,3001.0,2023-07
2023,August,2975.0,2023-08
2023,September,2973.0,2023-09
2023,October,2947.0,2023-10
2023,November,2952.0,2023-11
2023,December,2962.0,2023-12
2024,January,2966.0,2024-01
2024,February,2963.0,2024-02
2024,March,2959.0,2024-03
2024,April,2952.0,2024-04
2024,May,2953.0,2024-05
2024,June,2953.0,2024-06
2024,July,2936.0,2024-07
2024,August,2929.0,2024-08
2024,September,2929.0,2024-09
2024,October,2922.0,2024-10
2024,November,2927.0,2024-11
2024,December,2944.0,2024-12
