title,occupation_code,occupation_family,occupation_family_id,state,state_code,description,skills,technology_skills,education_level,salary_median,job_growth,work_activities,work_context,knowledge_areas,abilities,work_styles,tasks,tools_used,work_values,pa_cities_mentioned,pa_industries_mentioned,url
Administrative Services Managers,11-3012.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



34%





 




 responded: 
High school diploma or equivalent requiredmore info






24%





 




 responded: 
Bachelor’s degree required





13%





 




 responded: 
Post-secondary certificate required



back to top


Worker Characteristics
Abilities

 5 ofAll 16 displayed (Show allShow top 5)


Oral Comprehension — The ability to listen to and understand information and ideas presented through spoken words and sentences",$52.11,,"['Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.', 'Sample of reported job titles:Administrative Coordinator, Administrative Director, Administrative Manager, Administrative Officer, Administrator, Business Administrator, Business Manager', 'Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.Related occupations', ""Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.Related occupations"", 'Develop operational standards and procedures for the work unit or department.Related occupations', 'Learn to operate new office technologies as they are developed and implemented.Related occupations', 'Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.Related occupations', 'Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.Related occupations', 'Supervise administrative staff and provide training and orientation to new staff.Related occupations', 'Computer aided design CAD software— Autodesk AutoCADRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-3012.00
Advertising and Promotions Managers,11-2011.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",[],"['Java', 'JavaScript', 'R', 'Go', 'HTML', 'React', 'Tableau', 'Excel', 'SQL']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$61.04,,"['Prepare budgets and submit estimates for program costs as part of campaign plan development.Related occupations', 'Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.Related occupations', 'Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.Related occupations', 'Manage sales team, including setting goals, providing incentives, and evaluating employee performance.Related occupations', 'Train and direct workers engaged in developing and producing advertisements.Related occupations', 'Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.Related occupations', 'Direct and coordinate product research and development.Related occupations', 'Analyze marketing or sales trends to forecast future conditions.Related occupations', 'Analyze the effectiveness of marketing tactics or channels.Related occupations', 'Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance', 'Energy']",https://www.onetonline.org/link/summary/11-2011.00
Architectural and Engineering Managers,11-9041.00,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",[],"['Java', 'JavaScript', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'Swift', 'React', 'Node.js', 'Django', 'Docker', 'AWS', 'Git', 'Cloud Computing', 'Agile', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'Ruby', 'Perl', 'Ansible', 'Chef', 'Puppet']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



46%





 




 responded: 
Bachelor’s degree required





27%





 




 responded: 
Master’s degree required





12%





 




 responded: 
Post-master’s certificate requiredmore info




back to top


Worker Characteristics
Abilities

 5 ofAll 21 displayed (Show allShow top 5)


Written Comprehension — The ability to read and understand information and ideas presented in writing",$80.64,,"['Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.', 'Also see:Biofuels/Biodiesel Technology and Product Development Managers', 'Manage the coordination and overall integration of technical activities in architecture or engineering projects.Related occupations', 'Direct, review, or approve project design changes.Related occupations', 'Confer with management, production, or marketing staff to discuss project specifications or procedures.Related occupations', 'Develop or implement policies, standards, or procedures for engineering and technical work.Related occupations', 'Establish scientific or technical goals within broad outlines provided by top management.Related occupations', 'Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.Related occupations', 'Evaluate the environmental impacts of engineering, architecture, or research and development activities.Related occupations', 'Identify environmental threats or opportunities associated with the development and launch of new technologies.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9041.00
Biofuels Production Managers,11-3051.03,Management Occupations,11,Pennsylvania,PA,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$58.39,,"['Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.', 'Sample of reported job titles:Biofuels Production Manager, Ethanol Operations Manager, Plant Manager, Production Coordinator, Production Manager, Production Plant Manager', 'Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.Related occupations', 'Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.Related occupations', 'Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.Related occupations', 'Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.Related occupations', 'Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.Related occupations', 'Provide training to subordinate or new employees to improve biofuels plant safety or increase the production of biofuels.Related occupations', 'Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.Related occupations', 'Prepare and manage biofuels plant or unit budgets.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance', 'Energy', 'Agriculture', 'Transportation']",https://www.onetonline.org/link/summary/11-3051.03
Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,Management Occupations,11,Pennsylvania,PA,"Sample of reported job titles:Analytical Research Program Manager, Biodiesel Division Manager, Biofuels Manager, Business Development and New Technology Manager, Laboratory Manager (Lab Manager), Project Development Director",[],"['Python', 'Java', 'R', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Agile', 'Excel', 'SQL', 'Perl']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$80.64,,"['Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.Related occupations', 'Prepare, or oversee the preparation of, experimental plans for biofuels research or development.Related occupations', 'Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.Related occupations', 'Prepare biofuels research and development reports for senior management or technical professionals.Related occupations', 'Develop lab scale models of industrial scale processes, such as fermentation.Related occupations', 'Oversee biodiesel/biofuels prototyping or development projects.Related occupations', 'Develop methods to estimate the efficiency of biomass pretreatments.Related occupations', 'Develop computational tools or approaches to improve biofuels research and development activities.Related occupations', 'Develop separation processes to recover biofuels.Related occupations', 'Design or execute solvent or product recovery experiments in laboratory or field settings.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance', 'Energy', 'Agriculture', 'Transportation']",https://www.onetonline.org/link/summary/11-9041.01
Biomass Power Plant Managers,11-3051.04,Management Occupations,11,Pennsylvania,PA,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$58.39,,"['Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.', 'Manage safety programs at power generation facilities.Related occupations', 'Supervise operations or maintenance employees in the production of power from biomass, such as wood, coal, paper sludge, or other waste or refuse.Related occupations', 'Supervise biomass plant or substation operations, maintenance, repair, or testing activities.Related occupations', 'Prepare and manage biomass plant budgets.Related occupations', 'Manage parts and supply inventories for biomass plants.Related occupations', 'Monitor and operate communications systems, such as mobile radios.Related occupations', 'Test, maintain, or repair electrical power distribution machinery or equipment, using hand tools, power tools, and testing devices.Related occupations', 'Operate controls to start, stop, or regulate biomass-fueled generators, generator units, boilers, engines, or auxiliary systems.Related occupations', 'Computer aided design CAD softwareRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Manufacturing', 'Technology', 'Finance', 'Energy', 'Agriculture', 'Transportation']",https://www.onetonline.org/link/summary/11-3051.04
Brownfield Redevelopment Specialists and Site Managers,11-9199.11,Management Occupations,11,Pennsylvania,PA,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,[],"['Python', 'R', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Tableau', 'Excel', 'PostgreSQL', 'SQL']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$65.65,,"['Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.', 'Plan or implement brownfield redevelopment projects to ensure safety, quality, and compliance with applicable standards or requirements.Related occupations', 'Estimate costs for environmental cleanup and remediation of land redevelopment projects.Related occupations', 'Design or implement plans for surface or ground water remediation.Related occupations', 'Design or implement measures to improve the water, air, and soil quality of military test sites, abandoned mine land, or other contaminated sites.Related occupations', 'Prepare reports or presentations to communicate brownfield redevelopment needs, status, or progress.Related occupations', 'Maintain records of decisions, actions, and progress related to environmental redevelopment projects.Related occupations', 'Design or implement plans for structural demolition and debris removal.Related occupations', 'Design or conduct environmental restoration studies.Related occupations', 'Review or evaluate designs for contaminant treatment or disposal facilities.Related occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance', 'Energy', 'Agriculture', 'Transportation']",https://www.onetonline.org/link/summary/11-9199.11
Chief Executives,11-1011.00,Management Occupations,11,Pennsylvania,PA,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",[],"['R', 'Go', 'Rust', 'CSS', 'React', 'AWS', 'Excel', 'SQL', 'PHP']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



46%





 




 responded: 
Master’s degree required





32%





 




 responded: 
Bachelor’s degree required





5%





 




 responded: 
Associate’s degree required



back to top


Worker Characteristics
Abilities

 5 ofAll 22 displayed (Show allShow top 5)


Oral Comprehension — The ability to listen to and understand information and ideas presented through spoken words and sentences",$99.24,,"['Prepare budgets for approval, including those for funding or implementation of programs.Related occupations', 'Implement corrective action plans to solve organizational or departmental problems.Related occupations', 'Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.Related occupations', 'Appoint department heads or managers and assign or delegate responsibilities to them.Related occupations', 'Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.Related occupations', 'Preside over, or serve on, boards of directors, management committees, or other governing boards.Related occupations', 'Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.Related occupations', ""Customer relationship management CRM software— Blackbaud The Raiser's Edge; Oracle Siebel Server SyncRelated occupations"", 'Data base management system software— Relational database management softwareRelated occupations', 'Document management software— Adobe Acrobat; Microsoft SharePointRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Healthcare', 'Education', 'Technology', 'Finance', 'Transportation']",https://www.onetonline.org/link/summary/11-1011.00
Chief Sustainability Officers,11-1011.03,Management Occupations,11,Pennsylvania,PA,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Tableau', 'Excel', 'SQL']","Related occupations



back to top
Education
How much education does a new hire need to perform a job in this occupation? Respondents said:



74%





 




 responded: 
Master’s degree required





19%





 




 responded: 
Bachelor’s degree required





7%





 




 responded: 
Post-master’s certificate requiredmore info




back to top


Worker Characteristics
Abilities

 5 ofAll 15 displayed (Show allShow top 5)


Written Expression — The ability to communicate information and ideas in writing so others will understand",$99.24,,"['Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.', 'Develop, or oversee the development of, sustainability evaluation or monitoring systems.Related occupations', 'Supervise employees or volunteers working on sustainability projects.Related occupations', 'Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.Related occupations', 'Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.Related occupations', 'Create and maintain sustainability program documents, such as schedules and budgets.Related occupations', 'Formulate or implement sustainability campaign or marketing strategies.Related occupations', 'Develop methodologies to assess the viability or success of sustainability initiatives.Related occupations', 'Identify educational, training, or other development opportunities for sustainability employees or volunteers.Related occupations', 'Customer relationship management CRM software— Salesforce softwareRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance', 'Energy', 'Transportation']",https://www.onetonline.org/link/summary/11-1011.03
Clinical Research Coordinators,11-9121.01,Management Occupations,11,Pennsylvania,PA,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",[],"['Python', 'R', 'MATLAB', 'Go', 'React', 'AWS', 'Excel', 'Perl']","”
Related occupations



back to top


Experience Requirements
Job Zone
TitleJob Zone Four: Considerable Preparation NeededEducationMost of these occupations require a four-year bachelor's degree, but some do not",$77.49,,"['Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.Related occupations', 'Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.Related occupations', 'Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.Related occupations', 'Prepare for or participate in quality assurance audits conducted by study sponsors, federal agencies, or specially designated review groups.Related occupations', 'Contact outside health care providers and communicate with subjects to obtain follow-up information.Related occupations', 'Participate in the development of study protocols including guidelines for administration or data collection procedures.Related occupations', 'Develop advertising and other informational materials to be used in subject recruitment.Related occupations', 'Dispense medical devices or drugs, and calculate dosages and provide instructions as necessary.Related occupations', 'Participate in preparation and management of research budgets and monetary disbursements.Related occupations', 'Data base user interface and query software— Clinical trial management software; OpenClinica; Oracle Clinical; PPD Patient Profiles;18 moreRelated occupations']",[],[],[],[],[],[],[],"['Erie', 'Reading', 'York']","['Education', 'Technology', 'Finance']",https://www.onetonline.org/link/summary/11-9121.01
